kbopID,playerID,yearID,stint,lgID,teamID,G,CG,SHO,W,L,SV,HLD,WPCT,BFP,IPouts,H,HR,BB,HBP,SO,R,ER,ERA
4607,79191,2015,1,KBO,KT,12,0,0,0,0,0,1,-,70,48,21,2,4,0,17,10,10,5.63
4608,79191,2016,1,KBO,KT,36,0,0,1,1,1,4,0.5,175,123,47,2,18,0,29,21,18,4.02
4609,79191,2017,1,KBO,KT,26,0,0,0,2,0,3,0,177,105,58,7,9,4,33,33,33,8.65
4610,79191,2018,1,KBO,KT,5,0,0,0,0,0,0,-,28,22,7,0,3,0,9,2,1,1.59
4611,79199,2009,1,KBO,LG,7,0,0,2,2,0,0,0.5,129,84,31,5,18,2,15,24,24,7.9
4612,79222,2009,1,KBO,Doosan,9,0,0,2,0,0,0,1,45,37,10,0,4,0,7,6,4,3.38
4613,79222,2010,1,KBO,Doosan,15,0,0,0,1,0,0,0,75,51,19,0,4,3,12,10,9,4.96
4614,79222,2017,1,KBO,Doosan,1,0,0,0,0,0,0,-,4,3,0,0,1,0,0,0,0,0
4615,79229,2009,1,KBO,Doosan,16,0,0,0,0,0,0,-,61,42,15,1,7,0,10,7,6,4.05
4616,79229,2010,1,KBO,Doosan,5,0,0,0,0,0,0,-,17,12,5,0,1,1,1,4,4,10.8
4617,79229,2013,1,KBO,Doosan,41,0,0,10,7,1,3,0.588,612,438,141,7,52,7,96,60,57,3.53
4618,79229,2014,1,KBO,Doosan,30,1,0,12,9,0,0,0.571,779,534,202,21,51,8,112,98,87,4.42
4619,79229,2015,1,KBO,Doosan,30,1,1,18,5,0,0,0.783,786,574,193,23,44,4,126,84,83,3.94
4620,79229,2016,1,KBO,Doosan,30,0,0,15,6,0,0,0.714,809,562,212,22,58,6,102,95,91,4.41
4621,79229,2017,1,KBO,Doosan,30,2,1,11,6,0,1,0.647,822,571,228,20,41,10,106,104,95,4.53
4622,79229,2018,1,KBO,Doosan,29,0,0,10,10,0,0,0.5,650,423,197,23,42,4,81,108,105,6.7
4623,79229,2019,1,KBO,Doosan,28,2,0,11,8,0,0,0.579,692,501,171,8,42,3,64,67,60,3.25
4624,79229,2020,1,KBO,Doosan,27,0,0,10,11,0,0,0.476,622,411,190,14,39,3,56,91,76,5.02
4625,79229,2021,1,KBO,Doosan,15,0,0,4,7,0,0,0.364,314,189,107,10,24,3,23,57,54,7.71
4626,79230,2009,1,KBO,Doosan,28,0,0,4,7,0,1,0.364,350,213,105,5,48,2,41,50,45,5.7
4627,79235,2009,1,KBO,Doosan,3,0,0,0,0,0,0,-,19,16,4,1,3,1,1,6,6,14.73
4628,79235,2010,1,KBO,Doosan,23,0,0,1,2,0,1,0.333,172,115,51,8,9,3,23,31,28,6.87
4629,79235,2011,1,KBO,Doosan,4,0,0,0,0,0,0,-,27,18,7,0,2,1,4,6,6,10.13
4630,79235,2015,1,KBO,Doosan,1,0,0,0,0,0,0,-,6,3,2,1,1,0,1,1,1,9
4631,79235,2016,1,KBO,Doosan,7,0,0,0,0,0,0,-,46,27,13,2,4,4,2,10,10,10.8
4632,79235,2017,1,KBO,Doosan,1,0,0,0,0,0,0,-,2,0,0,0,0,2,0,0,0,-
4633,79293,2009,1,KBO,Doosan,17,0,0,0,0,0,0,-,130,93,33,4,13,1,22,15,15,4.45
4634,79293,2010,1,KBO,Doosan,12,0,0,1,0,0,0,1,69,48,18,2,6,0,11,12,11,6.46
4635,79293,2013,1,KBO,Doosan,67,0,0,5,3,5,7,0.625,302,222,65,6,19,8,65,23,22,2.7
4636,79293,2014,1,KBO,Doosan,58,0,0,4,3,0,4,0.571,300,205,81,6,18,5,56,28,27,3.65
4637,79293,2015,1,KBO,Doosan,61,0,0,1,3,0,13,0.25,239,168,59,6,16,4,45,33,33,5.3
4638,79293,2016,1,KBO,Doosan,20,0,0,1,0,0,4,1,91,67,29,3,3,2,17,14,14,6.1
4639,79293,2018,1,KBO,Lotte,72,0,0,3,2,0,25,0.6,268,199,66,11,12,3,63,32,27,3.76
4640,79293,2019,1,KBO,Lotte,15,0,0,1,0,0,0,1,56,43,15,6,2,1,8,9,7,4.97
