playerID,birthYear,birthMonth,birthDay,nationality,nameLast,nameFirst,nameGiven,weight,height,bats,throws,position
51762,2002,6,28,Korea,Jang,Gyu-Hyeon,Jang Gyu-Hyeon,212,72,L,R,Catcher
51764,2003,1,10,Korea,Jung,Min-Gyu,Jung Min-Gyu,223,72,R,R,Infielder
51767,2002,3,10,Korea,Song,Ho-Jeong,Song Ho-Jeong,172,73,L,R,Infielder
51803,2001,6,28,Korea,Park,Hyeong-Jun,Park Hyeong-Jun,231,72,R,R,Outfielder
51809,2000,1,6,Korea,Cho,Yo-Han,Cho Yo-Han,225,75,R,R,Pitcher
51817,1982,7,13,Korea,Choo,Sin-Su,Choo Sin-Su,214,71,L,L,Outfielder
51833,1990,5,22,USA,Gaviglio,Sam,Gaviglio Sam,216,73,R,R,Pitcher
51834,1992,4,8,USA,Rutckyj,Evan,Rutckyj Evan,194,75,R,R,Pitcher
51863,1990,5,24,Venezuela,Font,Wilmer,Font Wilmer,249,76,R,R,Pitcher
51865,2002,4,4,Korea,Cho,Hyeong-U,Cho Hyeong-U,209,74,R,R,Catcher
51867,2002,7,12,Korea,Kim,Geon-U,Kim Geon-U,194,73,L,L,Pitcher
51868,2002,7,8,Korea,Ko,Myeong-Jun,Ko Myeong-Jun,207,73,R,R,Infielder
51895,1998,12,6,Korea,Jang,Ji-Hun,Jang Ji-Hun,172,70,R,R,Pitcher
51897,2002,5,8,Korea,Cho,Byeong-Hyeon,Cho Byeong-Hyeon,198,72,R,R,Pitcher
51907,2002,7,30,Korea,Kim,Ju-Won,Kim Ju-Won,183,73,R,R,Infielder
51948,2002,5,8,Korea,Lee,Yong-Jun,Lee Yong-Jun,209,71,R,R,Pitcher
51967,1992,9,6,USA,Parsons,Wes,Parsons Wes,205,77,R,R,Pitcher
51991,2002,5,20,Korea,Oh,Jang-Han,Oh Jang-Han,209,72,L,R,Outfielder
51994,2001,11,21,Korea,Han,Jae-Seung,Han Jae-Seung,198,71,R,R,Pitcher
51996,2002,4,25,Korea,Oh,Tae-Yang,Oh Tae-Yang,172,71,R,R,Infielder
52001,2003,8,22,Korea,An,Hyeon-Min,An Hyeon-Min,198,72,R,R,Outfielder
52002,2003,7,3,Korea,Kim,Byeong-Jun,Kim Byeong-Jun,176,69,L,R,Outfielder
52009,1994,7,20,USA,Alford,Anthony,Alford Anthony,209,73,R,R,Outfielder
52025,1992,4,15,Puerto Rico,Ramos,Henry,Ramos Henry,214,72,R,R,Outfielder
52043,1993,7,26,USA,Benjamin,Wes,Benjamin Wes,209,74,L,L,Pitcher
52060,2003,10,11,Korea,Park,Yeong-Hyeon,Park Yeong-Hyeon,201,72,R,R,Pitcher
52063,2003,10,14,Korea,Lee,Sang-U,Lee Sang-U,209,75,R,R,Pitcher
52103,2003,7,18,Korea,Choi,Won-Yeong,Choi Won-Yeong,168,69,R,R,Outfielder
52105,2003,11,15,Korea,Kim,Seong-U,Kim Seong-U,187,71,R,R,Catcher
52112,1994,5,22,USA,Ruiz,Rio,Ruiz Rio,209,74,L,R,Infielder
52119,1999,7,2,Korea,Heo,Jun-Hyeok,Heo Jun-Hyeok,187,71,R,R,Pitcher
52121,2003,8,15,Korea,Moon,Jeong-Bin,Moon Jeong-Bin,198,73,R,R,Infielder
52125,1993,3,28,Dominica Republic,Garcia,Robel,Garcia Robel,194,72,R,R,Infielder
52140,2003,8,27,Korea,Kim,Ju-Wan,Kim Ju-Wan,212,74,L,L,Pitcher
52145,1991,10,3,USA,Plutko,Adam,Plutko Adam,209,75,R,R,Pitcher
52149,2003,5,10,Korea,Cho,Won-Tae,Cho Won-Tae,203,73,L,L,Pitcher
52154,2003,3,4,Korea,Lee,Ju-Heon,Lee Ju-Heon,203,73,R,R,Catcher
52204,2003,6,4,Korea,Lee,Byeong-Heon,Lee Byeong-Heon,209,72,L,L,Pitcher
52206,2001,7,23,Korea,Choi,Ji-Gang,Choi Ji-Gang,194,71,L,R,Pitcher
52234,1989,11,21,USA,Stock,Robert,Stock Robert,214,73,L,R,Pitcher
52257,1994,6,3,USA,Waddell,Branden,Waddell Branden,179,75,L,L,Pitcher
52267,2002,9,4,Korea,Kim,Dong-Jun,Kim Dong-Jun,220,76,L,L,Infielder
52295,2003,5,7,Korea,Lee,Won-Jae,Lee Won-Jae,209,74,L,L,Pitcher
52305,1999,2,25,Korea,Park,Su-Jong,Park Su-Jong,181,70,R,R,Outfielder
52308,1993,1,5,USA,Eppler,Tyler,Eppler Tyler,229,77,R,R,Pitcher
52330,2000,1,30,Korea,Ju,Seung-U,Ju Seung-U,181,71,R,R,Pitcher
52348,2003,4,25,Korea,Park,Chan-Hyeok,Park Chan-Hyeok,194,71,R,R,Outfielder
52366,1990,12,7,Cuba,Puig,Yasiel,Puig Yasiel,238,74,R,R,Outfielder
52391,2003,5,5,Korea,Song,Jeong-In,Song Jeong-In,185,74,R,R,Pitcher
52394,2003,6,22,Korea,No,Un-Hyeon,No Un-Hyeon,168,72,R,R,Pitcher
52395,2003,7,4,Korea,Yoon,Seok-Won,Yoon Seok-Won,179,73,L,L,Pitcher
52397,2002,12,5,Korea,Lee,Myeong-Jong,Lee Myeong-Jong,185,71,R,R,Pitcher
52402,2003,12,6,Korea,Kim,Sang-Min,Kim Sang-Min,183,72,L,R,Outfielder
52405,2003,10,22,Korea,Cho,Min-Seong,Cho Min-Seong,198,71,R,R,Infielder
52415,2003,2,4,Korea,Lee,Jae-Hyeon,Lee Jae-Hyeon,181,71,R,R,Infielder
52424,1999,12,26,Korea,Kim,Jae-Hyeok,Kim Jae-Hyeok,187,72,R,R,Outfielder
52430,2003,8,24,Korea,Kim,Yeong-Ung,Kim Yeong-Ung,179,72,L,R,Infielder
52457,1989,10,8,Venezuela,Suarez,Albert,Suarez Albert,265,75,R,R,Pitcher
52460,2003,9,1,Korea,Kim,Seo-Jun,Kim Seo-Jun,172,72,R,R,Pitcher
52504,2000,9,15,Korea,Kim,Dong-Hyeok,Kim Dong-Hyeok,170,70,L,L,Outfielder
52514,2003,6,14,Korea,Kim,Se-Min,Kim Se-Min,172,72,R,R,Infielder
52516,2003,11,21,Korea,Cho,Se-Jin,Cho Se-Jin,190,71,R,R,Outfielder
52526,1995,12,12,USA,Peters,DJ,Peters DJ,240,80,R,R,Outfielder
52528,1995,10,1,USA,Barnes,Charlie,Barnes Charlie,201,74,L,L,Pitcher
52530,2003,12,10,Korea,Lee,Min-Seok,Lee Min-Seok,209,74,R,R,Pitcher
52547,1993,11,12,USA,Rex,Zach,Rex Zach,190,74,L,R,Outfielder
52557,1992,5,11,USA,Sparkman,Glenn,Sparkman Glenn,209,74,R,R,Pitcher
52558,2003,9,5,Korea,Jin,Seung-Hyeon,Jin Seung-Hyeon,238,72,L,R,Pitcher
52568,2003,9,15,Korea,Han,Tae-Yang,Han Tae-Yang,168,71,R,R,Infielder
52591,2003,9,18,Korea,Yoon,Dong-Hui,Yoon Dong-Hui,187,74,R,R,Outfielder
52605,2003,10,2,Korea,Kim,Do-Yeong,Kim Do-Yeong,187,72,R,R,Infielder
52606,1994,4,28,USA,Pannone,Thomas,Pannone Thomas,203,73,L,L,Pitcher
52630,1992,9,6,Dominica Republic,Brito,Socrates,Brito Socrates,205,74,L,L,Outfielder
52637,1989,12,26,USA,Nolin,Sean,Nolin Sean,249,76,L,L,Pitcher
52639,2003,9,10,Korea,Choi,Ji-Min,Choi Ji-Min,220,73,L,L,Pitcher
52641,2002,7,30,Korea,Hwang,Dong-Ha,Hwang Dong-Ha,212,72,R,R,Pitcher
52645,1996,1,6,USA,Torres,Roni,Torres Roni,176,72,R,R,Pitcher
52667,2003,5,7,Korea,Yoon,Do-Hyeon,Yoon Do-Hyeon,185,71,R,R,Infielder
52701,2003,12,23,Korea,Moon,Dong-Ju,Moon Dong-Ju,214,74,R,R,Pitcher
