npbpID,playerID,yearID,stint,lgID,teamID,POS,G,W,L,SV,HLD,HP,CG,SHO,WL_pct,BFP,IPouts,H,HR,BB,HBP,SO,WP,BK,R,ER,ERA,GS,K_pct,BB_pct,HR_pct,BABIP,LOB%,IBB,RA-,FIP-,RA9_WAR,WAR
186,100074,1954,1,PL,TAKAHASHI,UC,29,8,13,,,,11,1,0.381,756,535,191,12,45,3,52,2,0,85,74,3.73,25,0.069,0.06,0.016,0.292,0.693,,118,109,0.4,1.3
187,100074,1955,1,PL,TOMBO,UC,33,7,21,,,,12,1,0.25,820,590,205,9,30,4,56,4,0,102,85,3.89,27,0.068,0.037,0.011,0.284,0.605,3,126,98,-0.2,2.5
188,100078,1936.1S,1,JBL,OSAKA,UC,8,3,3,,,,4,1,0.5,217,156,40,1,17,0,44,2,0,19,15,2.6,5,0.203,0.078,0.005,0.258,0.683,,62,69,1.7,1.6
189,100078,1936.2F,1,JBL,OSAKA,UC,11,6,1,,,,3,1,0.857,235,167,47,1,21,0,40,1,0,20,12,1.94,6,0.17,0.089,0.004,0.272,0.721,,76,78,1.2,1.3
190,100078,1937.1S,1,JBL,OSAKA,UC,12,4,1,,,,2,1,0.8,223,166,40,0,19,1,27,1,0,14,8,1.3,5,0.121,0.085,0,0.23,0.767,,54,81,2,1.2
191,100078,1937.2F,1,JBL,OSAKA,UC,5,0,0,,,,0,0,,59,40,14,0,6,0,4,1,0,6,5,3.38,3,0.068,0.102,0,0.286,0.7,,90,89,0.2,0.2
192,100078,1938.1S,1,JBL,OSAKA,UC,6,4,1,,,,0,0,0.8,91,62,29,0,4,0,11,0,0,9,7,3.05,2,0.121,0.044,0,0.382,0.727,,93,60,0.3,0.8
193,100078,1938.2F,1,JBL,OSAKA,UC,1,0,1,,,,0,0,0,5,3,2,0,0,0,1,0,0,2,1,9,1,0.2,0,0,0.5,0,,449,35,-0.1,0.1
194,100078,1944,1,JBL,HANSHIN,UC,2,1,0,,,,0,0,1,67,45,16,0,6,0,4,0,0,6,2,1.2,2,0.06,0.09,0,0.296,0.727,,106,92,0.1,0.2
195,100078,1946,1,JBL,OSAKA,UC,23,13,2,,,,4,0,0.867,447,321,83,3,60,0,43,0,0,35,29,2.44,7,0.096,0.134,0.007,0.24,0.778,,67,104,3.1,0.9
196,100078,1948,1,JBL,OSAKA,UC,6,2,2,,,,1,1,0.5,96,62,21,1,13,0,7,0,1,13,11,4.79,3,0.073,0.135,0.01,0.267,0.644,,161,126,-0.3,0
197,100078,1950,1,CL,OSAKA,UC,1,0,0,,,,0,0,,4,2,1,0,1,0,1,0,0,0,0,0,0,0.25,0.25,0,0.5,1,,0,90,0,0
198,100078,1951,1,CL,OSAKA,UC,1,1,0,,,,0,0,1,13,12,0,0,1,0,1,0,0,0,0,0,1,0.077,0.077,0,0,1,,0,77,0.3,0.1
199,100079,1940,1,JBL,HANKYU,UC,1,0,1,,,,0,0,0,10,7,2,0,0,1,0,0,0,3,3,11.57,1,0,0,0,0.222,0,,377,114,-0.2,0
200,100081,1936.1S,1,JBL,DAI TOKYO,UC,4,0,2,,,,0,0,0,62,46,19,0,15,0,9,0,0,18,14,8.22,3,0.145,0.242,0,0.463,0.471,,199,114,-0.5,0.1
201,100081,1936.2F,1,JBL,DAI TOKYO,UC,4,0,1,,,,1,0,0,75,50,10,0,9,0,7,0,0,8,6,3.24,2,0.093,0.12,0,0.172,0.579,,101,97,0.1,0.2
202,100081,1937.1S,1,JBL,DAI TOKYO,UC,23,3,12,,,,7,0,0.2,646,397,122,0,116,3,48,3,0,90,48,3.26,18,0.074,0.18,0,0.263,0.627,,145,123,-1.4,0
203,100081,1937.2F,1,JBL,LION,UC,9,1,5,,,,0,0,0.167,212,121,45,2,41,6,19,2,1,45,37,8.26,7,0.09,0.193,0.009,0.301,0.527,,223,139,-1.6,-0.3
204,100081,1938.1S,1,JBL,LION,UC,7,0,3,,,,1,0,0,146,90,30,0,24,1,9,1,0,18,11,3.3,4,0.062,0.164,0,0.273,0.673,,128,113,-0.1,0.2
205,100081,1938.2F,1,JBL,LION,UC,16,5,5,,,,5,2,0.5,390,277,58,1,52,4,42,0,0,33,29,2.83,11,0.108,0.133,0.003,0.201,0.719,,80,98,1.9,1.1
206,100089,1943,1,JBL,YAMATO,UC,43,12,19,,,,19,2,0.387,1165,857,219,3,98,1,52,2,0,99,69,2.17,27,0.045,0.084,0.003,0.22,0.698,,120,97,0.4,3.5
