playerID,yearID,stint,lgID,teamID,POS,G,PO,A,E,DP,PB,FP,RF
100012,1937,1,JBL,Nagoya,OF,85.0,191.0,9.0,5.0,2.0,,0.976,2.353
100012,1938,1,JBL,Nagoya,OF,74.0,133.0,8.0,9.0,0.0,,0.94,1.905
100012,1939,1,JBL,Nagoya,OF,88.0,167.0,10.0,4.0,3.0,,0.978,2.011
100012,1940,1,JBL,Nagoya,OF,103.0,214.0,17.0,6.0,5.0,,0.975,2.243
100012,1941,1,JBL,Nagoya,OF,77.0,194.0,7.0,3.0,3.0,,0.985,2.61
100012,1942,1,JBL,Nagoya,OF,82.0,195.0,9.0,5.0,3.0,,0.976,2.488
100012,1943,1,JBL,Nagoya,OF,5.0,3.0,0.0,0.0,0.0,,1.0,0.6
100013,1936,1,JBL,Kinko,OF,27.0,29.0,1.0,3.0,0.0,,0.909,1.111
100013,1937,1,JBL,Kinko,OF,87.0,186.0,6.0,5.0,2.0,,0.975,2.207
100014,1936,1,JBL,Kyojin,2B,5.0,5.0,4.0,1.0,1.0,,0.9,1.8
100014,1936,1,JBL,Kyojin,3B,8.0,2.0,8.0,0.0,0.0,,1.0,1.25
100014,1937,1,JBL,Kyojin,2B,3.0,1.0,2.0,0.0,0.0,,1.0,1.0
100014,1937,1,JBL,Kyojin,C,10.0,24.0,3.0,2.0,2.0,5.0,0.931,2.7
100015,1936,1,JBL,Nagoya,C,38.0,88.0,33.0,3.0,4.0,4.0,0.976,3.184
100015,1936,1,JBL,Nagoya,P,1.0,,,,,,,
100015,1937,1,JBL,Korakuen,C,66.0,287.0,69.0,7.0,10.0,3.0,0.981,5.394
100015,1938,1,JBL,Eagles,C,75.0,467.0,88.0,6.0,12.0,5.0,0.989,7.4
100016,1936,1,JBL,Osaka,1B,41.0,252.0,8.0,6.0,17.0,,0.977,6.341
100016,1937,1,JBL,Osaka,1B,99.0,933.0,26.0,15.0,88.0,,0.985,9.687
100016,1938,1,JBL,Osaka,1B,71.0,617.0,7.0,14.0,71.0,,0.978,8.789
100016,1939,1,JBL,Osaka,1B,93.0,961.0,20.0,13.0,85.0,,0.987,10.548
100016,1940,1,JBL,Hanshin,1B,97.0,1048.0,25.0,16.0,111.0,,0.985,11.062
100016,1941,1,JBL,Hanshin,1B,58.0,547.0,18.0,6.0,46.0,,0.989,9.741
100016,1950,1,CL,Osaka,1B,2.0,11.0,0.0,0.0,3.0,,1.0,5.5
100017,1936,1,JBL,Kyojin,1B,2.0,,,,,,,
