playerID,birthYear,birthMonth,birthDay,birthCountry,nameLast,nameFirst,nameFull,weight,height,bats,throws
52504,2000,9,15,South Korea,Kim,Dong-Hyeok,Dong-Hyeok Kim,170,70,L,L
52514,2003,6,14,South Korea,Kim,Se-Min,Se-Min Kim,172,72,R,R
52516,2003,11,21,South Korea,Cho,Se-Jin,Se-Jin Cho,190,71,R,R
52526,1995,12,12,United States,Peters,DJ,DJ Peters,240,80,R,R
52528,1995,10,1,United States,Barnes,Charlie,Charlie Barnes,201,74,L,L
52530,2003,12,10,South Korea,Lee,Min-Seok,Min-Seok Lee,209,74,R,R
52547,1993,11,12,United States,Reks,Zach,Zach Reks,190,74,L,R
52557,1992,5,11,United States,Sparkman,Glenn,Glenn Sparkman,209,74,R,R
52558,2003,9,5,South Korea,Jin,Seung-Hyeon,Seung-Hyeon Jin,238,72,L,R
52568,2003,9,15,South Korea,Han,Tae-Yang,Tae-Yang Han,168,71,R,R
52591,2003,9,18,South Korea,Yoon,Dong-Hui,Dong-Hui Yoon,187,74,R,R
52605,2003,10,2,South Korea,Kim,Do-Yeong,Do-Yeong Kim,187,72,R,R
52606,1994,4,28,United States,Pannone,Thomas,Thomas Pannone,203,73,L,L
52630,1992,9,6,D.R,Brito,Socrates,Socrates Brito,205,74,L,L
52637,1989,12,26,United States,Nolin,Sean,Sean Nolin,249,76,L,L
52639,2003,9,10,South Korea,Choi,Ji-Min,Ji-Min Choi,220,73,L,L
52641,2002,7,30,South Korea,Hwang,Dong-Ha,Dong-Ha Hwang,212,72,R,R
52645,1996,1,6,United States,Williams,Ronnie,Ronnie Williams,176,72,R,R
52667,2003,5,7,South Korea,Yoon,Do-Hyeon,Do-Hyeon Yoon,185,71,R,R
52701,2003,12,23,South Korea,Moon,Dong-Ju,Dong-Ju Moon,214,74,R,R
52704,2001,9,14,South Korea,Lee,Sang-Hyeok,Sang-Hyeok Lee,143,69,L,R
52705,2000,5,9,South Korea,Yoo,Sang-Bin,Sang-Bin Yoo,179,71,L,L
52707,1993,11,28,D.R,Ramirez,Yefry,Yefry Ramirez,214,74,R,R
52710,1998,12,11,South Korea,Han,Gyeong-Bin,Gyeong-Bin Han,152,70,L,R
52712,1990,12,3,United States,Tauchman,Mike,Mike Tauchman,209,74,L,L
52715,1999,12,27,South Korea,Lee,Jae-Min,Jae-Min Lee,163,74,R,R
52720,1990,5,25,D.R,Pena,Felix,Felix Pena,218,74,R,R
52731,2003,3,2,South Korea,Park,Jun-Yeong,Jun-Yeong Park,227,75,R,R
52764,2003,7,11,South Korea,Heo,In-Seo,In-Seo Heo,205,72,R,R
52769,1997,12,12,South Korea,Kwon,Gwang-Min,Gwang-Min Kwon,225,74,L,L
52804,1999,1,20,South Korea,Seok,Jeong-U,Jeong-U Seok,181,71,R,R
52806,1989,3,17,D.R,Lagares,Juan,Juan Lagares,218,74,R,R
52808,1992,11,20,United States,Morimando,Shawn,Shawn Morimando,205,72,L,L
52809,2002,4,16,South Korea,Jeon,Yeong-Jun,Yeong-Jun Jeon,220,75,R,R
52827,1993,2,17,United States,Cron,Kevin,Kevin Cron,254,77,R,R
52833,1987,1,12,D.R,Nova,Ivan,Ivan Nova,225,76,R,R
52867,2003,10,10,South Korea,Yoon,Tae-Hyeon,Tae-Hyeon Yoon,205,74,R,R
52868,2003,5,14,South Korea,Lee,Gi-Sun,Gi-Sun Lee,172,69,L,L
52873,2002,7,19,South Korea,Shin,Heon-Min,Heon-Min Shin,194,74,R,R
52902,2003,10,11,South Korea,Lim,Ji-Min,Ji-Min Lim,181,73,R,R
52903,1998,12,21,South Korea,Cho,Min-Seok,Min-Seok Cho,183,71,L,R
52904,1990,6,27,United States,Martini,Nick,Nick Martini,205,72,L,L
52950,1990,7,4,United States,Dermody,Matt,Matt Dermody,190,77,R,L
52992,2003,6,30,South Korea,Lee,Jun-Hyeok,Jun-Hyeok Lee,192,72,R,R
52994,1999,5,24,South Korea,Park,Dong-Su,Dong-Su Park,187,70,R,R
52995,2003,5,17,South Korea,Kim,Nok-Won,Nok-Won Kim,194,72,R,R
53006,2004,7,12,South Korea,Kang,Geon,Geon Kang,187,72,R,R
53029,2004,4,21,South Korea,Kim,Jeong-Un,Jeong-Un Kim,194,73,R,R
53036,2000,11,8,South Korea,Ryu,Hyeon-In,Hyeon-In Ryu,176,69,L,R
53040,1994,5,5,United States,Sulser,Beau,Beau Sulser,194,74,R,R
53057,2004,6,21,South Korea,Son,Min-Seok,Min-Seok Son,154,70,L,R
53058,2004,1,26,South Korea,Jung,Jun-Yeong,Jun-Yeong Jung,161,68,L,L
53105,2000,2,3,South Korea,Song,Dae-Hyeon,Dae-Hyeon Song,181,71,R,R
53123,1993,10,14,United States,Dean,Austin,Austin Dean,214,72,R,R
53139,2004,3,27,South Korea,Park,Myeong-Geun,Myeong-Geun Park,165,69,R,R
53144,2004,5,21,South Korea,Kim,Beom-Seok,Beom-Seok Kim,243,70,R,R
53164,2004,7,9,South Korea,Kim,Dong-Gyu,Dong-Gyu Kim,220,76,R,R
53204,2002,10,21,South Korea,Park,Min-Jun,Min-Jun Park,209,72,R,R
53211,1993,2,24,United States,Rojas,Jose,Jose Rojas,198,72,L,R
53233,1996,6,4,United States,Dylan,File,File Dylan,203,73,R,R
53259,2004,6,3,South Korea,Choi,Jun-Ho,Jun-Ho Choi,198,74,R,R
53262,2002,1,1,South Korea,Kim,Yu-Seong,Yu-Seong Kim,216,75,R,R
53296,2000,11,14,South Korea,Yoon,Jun-Ho,Jun-Ho Yoon,205,70,R,R
53298,2000,1,4,South Korea,Baek,Seung-U,Seung-U Baek,209,72,L,L
53300,2004,7,21,South Korea,Oh,Sang-Won,Sang-Won Oh,181,72,R,R
53301,2004,2,8,South Korea,Park,Yun-Seong,Yun-Seong Park,212,72,R,R
53302,2004,7,2,South Korea,Lee,Seung-Won,Seung-Won Lee,165,73,R,R
53303,2000,6,30,South Korea,Song,Jae-Seon,Jae-Seon Song,161,69,R,R
53305,2004,4,21,South Korea,Park,Seong-Bin,Seong-Bin Park,207,70,R,R
53309,2000,8,17,South Korea,Seo,Yu-Sin,Yu-Sin Seo,168,69,R,R
53312,2004,11,7,South Korea,Kim,Geon-Hui,Geon-Hui Kim,212,73,R,R
53322,1994,11,18,United States,McKinney,Ian,Ian McKinney,183,71,L,L
53327,1995,5,19,United States,Dawson,Ronnie,Ronnie Dawson,220,72,L,R
53344,2004,7,15,South Korea,Kim,Dong-Heon,Dong-Heon Kim,201,72,R,R
53375,1996,1,30,Panama,Jurado,Ariel,Ariel Jurado,240,74,R,R
