playerID,birthYear,birthMonth,birthDay,birthCountry,nameLast,nameFirst,nameFull,height,weight,bats,throws,Position
102156,1943,4,9,Japan,Ioki,Hirofumi,Hirofumi Ioki,70,172,R,R,Pinch Hitter
102157,1943,4,20,Japan,Harada,Yoshiomi,Yoshiomi Harada,70,143,R,R,Pitcher
102158,1943,5,14,Japan,Oba,Kiyoshi,Kiyoshi Oba,71,161,R,R,Pitcher
102159,1943,5,20,Japan,Maita,Toshimi,Toshimi Maita,69,161,R,R,Pitcher
102160,1943,7,15,Japan,Ito,Katsutoshi,Katsutoshi Ito,70,168,R,R,Pinch Hitter
102161,1943,9,2,Japan,Korehisa,Yukihiko,Yukihiko Korehisa,69,161,R,R,Third baseman
102162,1943,9,8,Japan,Okuma,Tadayoshi,Tadayoshi Okuma,67,161,R,R,Left fielder
102163,1944,1,1,Japan,Kunisada,Yasuhiro,Yasuhiro Kunisada,65,159,R,R,Second baseman
102164,1944,3,12,Japan,Sekine,Tomoo,Tomoo Sekine,68,154,R,R,Shortstop
102165,1944,4,7,Japan,Saiga,Yukio,Yukio Saiga,69,161,R,R,Pinch Hitter
102166,1944,4,26,Japan,Nanamori,Yoshiyasu,Yoshiyasu Nanamori,71,172,L,L,Pitcher
102167,1944,5,6,Japan,Arimitsu,Iwaaki,Iwaaki Arimitsu,70,170,L,L,Pitcher
102168,1944,5,14,Japan,Ishida,Itsuo,Itsuo Ishida,71,157,R,R,Pitcher
102169,1944,5,19,Japan,Nishikawa,Katsuhiro,Katsuhiro Nishikawa,70,154,R,R,Pitcher
102170,1944,5,30,Japan,Muto,Shiro,Shiro Muto,68,154,L,R,Pinch Hitter
102171,1944,7,7,Japan,Kimata,Tatsuhiko,Tatsuhiko Kimata,68,165,R,R,Catcher
102172,1944,7,26,Japan,Hari,Isao,Isao Hari,69,187,R,R,Pitcher
102173,1944,8,17,Japan,Aniya,Sohachi,Sohachi Aniya,70,165,R,R,Pitcher
102174,1944,9,8,Japan,Shimosuzaki,Shoichi,Shoichi Shimosuzaki,68,168,R,R,Left fielder
102175,1945,1,5,Japan,Sato,Issei,Issei Sato,69,181,R,R,Pinch Hitter
102176,1945,2,15,Japan,Sakota,Shichiro,Shichiro Sakota,70,154,R,R,Pitcher
102177,1945,2,23,Japan,Sonoda,Toshihiko,Toshihiko Sonoda,68,161,R,R,Second baseman
102178,1945,5,13,Japan,Yoshizawa,Masaru,Masaru Yoshizawa,71,161,L,L,Pitcher
102179,1945,5,15,Japan,Ogawa,Hirofumi,Hirofumi Ogawa,68,159,R,R,Center fielder
102180,1945,5,16,Japan,Takahashi,Shigeyuki,Shigeyuki Takahashi,74,190,R,R,Pitcher
102181,1945,6,19,Japan,Hanzawa,Shiro,Shiro Hanzawa,71,194,R,R,Pitcher
102182,1945,7,7,Japan,Tokita,Tadao,Tadao Tokita,67,154,L,R,Pinch Hitter
