playerID,yearID,stint,lgID,teamID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GIDP,PA,TB,AVG,SLG,OBP,OPS,BB_pct,K_pct
100083,1937,1,JBL,OSAKA,105,406,78,112,19,8,1,67,9,,69,37,,,150,0.276,0.369,,,,
100083,1938,1,JBL,OSAKA,61,166,22,41,9,0,0,17,3,,23,13,,,50,0.247,0.301,,,,
100083,1942,1,JBL,HANSHIN,69,269,21,68,7,5,2,25,5,5,32,11,,,91,0.253,0.338,,,,
100083,1946,1,JBL,PACIFIC,78,311,35,89,15,2,4,35,1,0,29,18,,,120,0.286,0.386,,,,
100083,1947,1,JBL,TAIYO,119,474,38,122,24,7,5,43,6,7,36,29,,,175,0.257,0.369,,,,
100083,1948,1,JBL,TAIYO,128,481,39,107,15,2,4,54,10,4,27,33,,,138,0.222,0.287,,,,
100083,1949,1,JBL,TAIYO,97,392,53,111,19,3,16,77,3,0,24,33,,,184,0.283,0.469,,,,
100083,1950,1,CL,TAIYO,140,541,104,177,36,4,34,122,4,1,68,46,5,,323,0.327,0.597,,,,
100083,1951,1,CL,TAIYO,98,392,53,100,24,2,15,59,5,0,19,41,7,,173,0.255,0.441,,,,
100083,1952,1,CL,TAIYO,107,440,75,126,24,7,14,69,10,2,32,42,5,,206,0.286,0.468,,,,
100083,1953,1,CL,YOSHO,112,412,51,123,18,4,15,57,3,0,29,27,5,,194,0.299,0.471,,,,
100083,1954,1,CL,YOSHO,112,397,37,105,16,3,15,55,2,1,28,41,8,433,172,0.264,0.433,0.314,0.747,0.065,0.095
100083,1955,1,CL,TAIYO,62,127,10,36,5,1,4,18,0,0,12,20,3,140,55,0.283,0.433,0.35,0.783,0.086,0.143
100083,1956,1,CL,TAIYO,101,299,25,79,8,1,13,34,0,2,20,45,7,322,128,0.264,0.428,0.311,0.739,0.062,0.14
100083,1957,1,CL,TAIYO,41,73,6,20,7,0,2,12,0,0,3,9,2,77,33,0.274,0.452,0.312,0.764,0.039,0.117
100083,1958,1,CL,TAIYO,12,19,1,3,0,0,1,1,0,0,0,4,0,19,6,0.158,0.316,0.158,0.474,0,0.211
100084,1936,1,JBL,OSAKA,2,3,0,1,0,0,0,0,0,,0,0,,,1,0.333,0.333,,,,
100084,1937,1,JBL,KORAKUEN,58,165,10,35,13,2,1,14,1,,11,27,,,55,0.212,0.333,,,,
100084,1938,1,JBL,SENATORS,36,89,14,26,6,0,1,12,0,,9,12,,,35,0.292,0.393,,,,
100084,1939,1,JBL,SENATORS,89,303,10,55,11,0,1,27,1,,34,56,,350,69,0.182,0.228,0.268,0.496,0.097,0.16
100084,1940,1,JBL,TSUBASA,101,316,21,50,12,0,3,26,0,,41,62,,366,71,0.158,0.225,0.254,0.479,0.112,0.169
100084,1941,1,JBL,TAIYO,84,265,6,36,3,0,1,11,1,,26,52,,,42,0.136,0.158,,,,
100084,1942,1,JBL,TAIYO,84,283,13,45,5,0,4,20,0,0,20,48,,,62,0.159,0.219,,,,
100084,1943,1,JBL,NISHITETSU,25,61,4,6,1,0,0,1,0,0,10,17,,,7,0.098,0.115,,,,
100084,1944,1,JBL,KYOJIN,17,52,2,8,2,0,1,1,0,0,5,7,,,13,0.154,0.25,,,,
100085,1936,1,JBL,KINKO,30,106,16,24,2,2,0,13,8,,18,15,,,30,0.226,0.283,,,,
100085,1937,1,JBL,KINKO,30,77,7,14,1,1,0,7,1,,13,5,,,17,0.182,0.221,,,,
100086,1936,1,JBL,DAI TOKYO,5,18,1,3,0,0,0,1,0,,1,5,,,3,0.167,0.167,,,,
100086,1938,1,JBL,LION,39,113,17,21,1,1,2,11,4,,19,17,,,30,0.186,0.265,,,,
100086,1939,1,JBL,LION,75,217,23,41,4,1,0,11,6,,30,42,,254,47,0.189,0.217,0.286,0.503,0.118,0.165
100086,1940,1,JBL,LION,21,59,6,8,0,1,0,1,6,,13,9,,72,10,0.136,0.169,0.292,0.461,0.181,0.125
100086,1946,1,JBL,CHUBU NIPPON,20,37,8,6,3,0,1,7,0,1,8,4,,,12,0.162,0.324,,,,
100086,1947,1,JBL,CHUBU NIPPON,42,61,10,17,3,1,0,6,7,6,8,7,,,22,0.279,0.361,,,,
100086,1948,1,JBL,CHUNICHI,52,48,14,7,1,1,0,7,26,2,3,5,,,10,0.146,0.208,,,,
100087,1936,1,JBL,KYOJIN,34,121,13,24,7,5,1,17,7,,26,19,,,44,0.198,0.364,,,,
100087,1937,1,JBL,KYOJIN,76,245,39,59,11,3,6,34,4,,44,49,,,94,0.241,0.384,,,,
100087,1938,1,JBL,KYOJIN,70,252,35,76,12,3,5,41,4,,54,45,,,109,0.302,0.433,,,,
100087,1942,1,JBL,KYOJIN,96,305,19,73,18,0,4,34,2,6,21,25,,,103,0.239,0.338,,,,
100087,1943,1,JBL,KYOJIN,44,138,7,21,4,2,3,16,1,1,11,13,,,38,0.152,0.275,,,,
100088,1936,1,JBL,SENATORS,34,99,15,16,2,0,0,14,5,,14,17,,,18,0.162,0.182,,,,
100088,1937,1,JBL,SENATORS,81,225,24,47,10,1,1,22,9,,34,39,,,62,0.209,0.276,,,,
100088,1938,1,JBL,SENATORS,48,113,9,24,4,0,0,9,5,,23,17,,,28,0.212,0.248,,,,
100088,1939,1,JBL,SENATORS,55,119,6,16,2,0,0,9,3,,21,19,,145,18,0.134,0.151,0.268,0.419,0.145,0.131
100088,1946,1,JBL,SENATORS,3,5,0,0,0,0,0,0,0,0,0,1,,,0,0,0,,,,
100089,1936,1,JBL,DAI TOKYO,37,104,9,19,1,1,0,6,1,,9,17,,,22,0.183,0.212,,,,
100089,1943,1,JBL,YAMATO,43,105,1,10,0,0,0,3,1,0,4,19,,,10,0.095,0.095,,,,
100090,1936,1,JBL,KYOJIN,19,48,3,7,2,0,0,3,0,,4,7,,,9,0.146,0.188,,,,
100090,1937,1,JBL,KYOJIN,53,155,14,38,5,1,0,18,0,,10,9,,,45,0.245,0.29,,,,
100090,1940,1,JBL,KYOJIN,12,32,2,7,0,0,0,3,0,,0,3,,33,7,0.219,0.219,0.219,0.438,0,0.091
100090,1941,1,JBL,KYOJIN,21,55,3,11,1,1,0,5,0,,2,5,,,14,0.2,0.255,,,,
100090,1943,1,JBL,KYOJIN,14,14,1,2,0,0,0,4,0,0,0,3,,,2,0.143,0.143,,,,
100091,1936,1,JBL,HANKYU,10,38,9,10,0,0,0,1,5,,11,6,,,10,0.263,0.263,,,,
100092,1936,1,JBL,OSAKA,44,144,20,31,6,1,0,14,4,,22,13,,,39,0.215,0.271,,,,
100092,1937,1,JBL,OSAKA,97,326,48,72,14,2,1,29,6,,52,30,,,93,0.221,0.285,,,,
100092,1938,1,JBL,OSAKA,55,151,22,32,3,0,0,15,8,,34,14,,,35,0.212,0.232,,,,
100092,1939,1,JBL,OSAKA,60,145,23,34,5,1,1,13,4,,32,15,,184,44,0.234,0.303,0.378,0.681,0.174,0.082
100092,1940,1,JBL,HANSHIN,13,45,4,12,2,0,1,8,1,,4,2,,51,17,0.267,0.378,0.32,0.698,0.078,0.039
100093,1936,1,JBL,KYOJIN,12,26,3,3,1,0,0,3,2,,2,6,,,4,0.115,0.154,,,,
100093,1937,1,JBL,KYOJIN,92,308,34,65,6,0,0,34,7,,40,23,,,71,0.211,0.231,,,,
100093,1946,1,JBL,KYOJIN,6,17,2,3,0,0,0,0,0,0,1,2,,,3,0.176,0.176,,,,
100093,1947,1,JBL,YOMIURI,87,253,22,56,5,1,0,15,4,4,13,22,,,63,0.221,0.249,,,,
100093,1948,1,JBL,YOMIURI,95,217,20,41,2,1,2,12,2,9,14,15,,,51,0.189,0.235,,,,
100093,1949,1,JBL,YOMIURI,5,3,1,1,0,0,0,2,0,0,1,0,,,1,0.333,0.333,,,,
100093,1950,1,CL,YOMIURI,6,6,0,0,0,0,0,0,0,0,0,2,0,,0,0,0,,,,
100093,1951,1,CL,YOMIURI,2,2,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,,,,
100094,1936,1,JBL,OSAKA,8,3,1,0,0,0,0,2,0,,0,0,,,0,0,0,,,,
100094,1937,1,JBL,OSAKA,10,5,3,2,0,0,0,0,0,,1,2,,,2,0.4,0.4,,,,
100095,1936,1,JBL,DAI TOKYO,29,104,10,22,4,0,0,7,5,,13,6,,,26,0.212,0.25,,,,
100095,1937,1,JBL,DAI TOKYO,56,244,26,67,10,4,1,21,15,,16,10,,,88,0.275,0.361,,,,
100095,1937,2,JBL,LION,49,187,34,60,8,4,2,22,22,,29,7,,,82,0.321,0.439,,,,
100095,1938,1,JBL,LION,64,242,31,57,5,2,3,29,4,,42,16,,,75,0.236,0.31,,,,
100095,1939,1,JBL,LION,94,365,32,111,15,6,2,48,18,,32,12,,402,144,0.304,0.395,0.358,0.752,0.08,0.03
100095,1940,1,JBL,LION,102,386,34,124,22,13,1,46,13,,37,14,,430,175,0.321,0.453,0.379,0.832,0.086,0.033
100095,1941,1,JBL,NANKAI,60,231,14,46,6,2,0,17,3,,19,12,,,56,0.199,0.242,,,,
100096,1936,1,JBL,OSAKA,39,129,18,24,6,0,1,12,1,,8,7,,,33,0.186,0.256,,,,
100096,1937,1,JBL,OSAKA,99,375,56,85,12,12,0,55,11,,59,29,,,121,0.227,0.323,,,,
100096,1938,1,JBL,OSAKA,71,263,43,68,14,1,2,40,4,,41,21,,,90,0.259,0.342,,,,
100096,1939,1,JBL,OSAKA,95,363,33,87,21,3,1,39,6,,30,25,,399,117,0.24,0.322,0.301,0.624,0.075,0.063
100096,1940,1,JBL,HANSHIN,94,323,50,83,17,2,3,37,13,,53,16,,382,113,0.257,0.35,0.36,0.71,0.139,0.042
100096,1949,1,JBL,DAIEI,100,388,67,98,24,2,10,35,3,3,41,50,,,156,0.253,0.402,,,,
100096,1950,1,PL,DAIEI,110,433,66,116,23,0,11,59,11,4,39,36,8,,172,0.268,0.397,,,,
100096,1951,1,PL,DAIEI,47,193,25,57,14,2,1,23,1,1,9,10,3,,78,0.295,0.404,,,,
100096,1952,1,PL,DAIEI,60,238,34,69,16,1,4,29,4,1,17,25,7,,99,0.29,0.416,,,,
100096,1953,1,PL,DAIEI,16,28,1,4,0,0,0,1,0,0,4,5,0,,4,0.143,0.143,,,,
100096,1954,1,PL,DAIEI,2,2,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0.333,0.333,0.333,0
100097,1936,1,JBL,OSAKA,15,23,4,6,1,0,1,5,0,,4,2,,,10,0.261,0.435,,,,
100097,1937,1,JBL,OSAKA,66,194,23,43,16,3,2,40,2,,13,37,,,71,0.222,0.366,,,,
100097,1938,1,JBL,OSAKA,43,100,15,20,5,0,1,23,1,,18,9,,,28,0.2,0.28,,,,
100097,1939,1,JBL,OSAKA,91,324,39,84,13,9,5,53,6,,40,32,,375,130,0.259,0.401,0.339,0.74,0.107,0.085
100097,1942,1,JBL,HANSHIN,33,105,7,18,4,1,1,13,1,1,23,20,,,27,0.171,0.257,,,,
100097,1943,1,JBL,HANSHIN,79,247,25,53,9,5,1,21,5,5,45,23,,,75,0.215,0.304,,,,
100097,1944,1,JBL,HANSHIN,31,107,11,25,2,0,0,11,9,1,17,5,,,27,0.234,0.252,,,,
