playerID,yearID,stint,lgID,teamID,G,W,L,CG,SHO,SV,IPouts,H,HR,BB,HBP,SO,R,ER,ERA,BFP,WPCT
101025,1955,1,CL,HIROSHIMA,2,0,0,0,0,,12,5,0,4,0,0,7,7,15.75,20,
101025,1956,1,CL,HIROSHIMA,1,0,0,0,0,,3,0,0,2,0,0,0,0,0,5,
101027,1952,1,CL,YOMIURI,2,0,0,0,0,,14,7,1,3,0,1,5,5,9.642857143,23,
101027,1953,1,CL,YOMIURI,5,0,0,0,0,,23,13,1,4,0,1,8,7,8.217391304,40,
101027,1954,1,CL,YOMIURI,1,0,0,0,0,,14,5,3,2,0,4,5,5,9.642857143,20,
101027,1955,1,CL,YOMIURI,1,0,0,0,0,,11,4,0,0,0,4,1,1,2.454545455,14,
101027,1956,1,PL,DAIEI,61,29,14,12,3,,989,220,6,109,8,187,80,65,1.774519717,1291,0.674
101027,1957,1,PL,DAIEI,49,12,21,10,1,,672,218,11,62,3,110,107,88,3.535714286,954,0.364
101027,1958,1,PL,DAIMAI,42,11,8,5,0,,525,159,11,40,5,91,72,54,2.777142857,726,0.579
101027,1959,1,PL,DAIMAI,34,3,8,0,0,,286,101,4,19,3,52,49,43,4.059440559,406,0.273
101027,1960,1,PL,DAIMAI,2,0,0,0,0,,3,1,0,3,0,1,0,0,0,7,
101027,1961,1,PL,DAIMAI,6,1,1,0,0,,21,8,2,3,0,2,5,5,6.428571429,31,0.5
101027,1962,1,PL,DAIMAI,19,0,1,0,0,,129,33,3,10,2,22,15,10,2.093023256,170,0
101028,1952,1,PL,NANKAI,9,0,1,0,0,,50,18,0,9,0,3,8,8,4.32,71,0
101028,1953,1,PL,NANKAI,21,1,2,0,0,,146,45,4,18,1,12,26,24,4.438356164,204,0.333
101028,1954,1,PL,NANKAI,6,0,0,0,0,,45,19,1,11,1,6,14,8,4.8,74,
101030,1952,1,CL,KOKUTETSU,1,0,0,0,0,,0,1,0,2,0,0,3,2,,4,
101030,1953,1,CL,KOKUTETSU,7,0,1,0,0,,51,16,1,9,0,5,6,5,2.647058824,76,0
101031,1952,1,CL,NAGOYA,8,0,2,0,0,,52,17,1,13,2,11,13,13,6.75,83,0
101031,1953,1,CL,NAGOYA,38,18,4,12,2,,595,169,5,59,5,88,65,51,2.314285714,807,0.818
101031,1954,1,CL,CHUNICHI,43,21,9,19,4,,795,214,8,70,7,137,75,66,2.241509434,1076,0.7
101031,1955,1,CL,CHUNICHI,35,17,9,15,4,,653,160,5,35,5,142,46,35,1.447166922,837,0.654
101031,1956,1,CL,CHUNICHI,4,0,0,0,0,,25,13,0,6,1,5,6,6,6.48,44,
101031,1957,1,CL,CHUNICHI,9,1,1,1,0,,83,19,1,12,1,5,9,6,1.951807229,115,0.5
101031,1958,1,CL,CHUNICHI,3,0,0,0,0,,9,5,0,1,2,1,5,4,12,17,
101031,1959,1,CL,CHUNICHI,22,2,0,0,0,,118,42,2,10,3,15,20,18,4.118644068,167,1
101033,1952,1,CL,HIROSHIMA,43,7,17,5,0,,540,186,8,60,4,42,98,86,4.3,770,0.292
101033,1953,1,CL,HIROSHIMA,49,13,20,3,1,,747,282,9,62,6,82,130,105,3.795180723,1066,0.394
101033,1954,1,CL,HIROSHIMA,30,10,10,9,1,,511,198,14,33,2,54,83,73,3.857142857,704,0.5
101033,1955,1,CL,HIROSHIMA,45,13,18,15,2,,870,270,11,64,5,101,106,82,2.544827586,1173,0.419
101033,1956,1,CL,HIROSHIMA,48,13,22,9,3,,741,219,18,61,5,112,110,86,3.133603239,1006,0.371
101033,1957,1,CL,HIROSHIMA,51,20,13,11,2,,776,225,9,61,4,128,95,72,2.505154639,1044,0.606
101033,1958,1,CL,HIROSHIMA,29,9,10,5,1,,405,121,5,30,1,52,44,36,2.4,541,0.474
