kbopID,playerID,yearID,stint,lgID,teamID,G,W,L,CG,SHO,SV,IPouts,H,HR,BB,HBP,SO,R,ER,ERA,BFP,WPCT
603,60337,2023,1,KBO,KIA,41,0,2,0,0,0,79,26,2,8,6,20,15,14,5.11,110,0
604,60337,2024,1,KBO,KIA,37,0,0,0,0,0,75,35,4,12,2,26,23,23,8.28,122,-
605,60337,2025,1,KBO,KIA,3,0,0,0,0,0,10,3,1,3,0,1,6,6,32.4,11,-
606,60339,2010,1,KBO,Nexen,5,0,0,0,0,0,28,10,1,4,1,5,8,8,9.39,36,-
607,60339,2012,1,KBO,Nexen,6,0,0,0,0,0,30,10,1,5,1,7,8,4,3.6,45,-
608,60339,2015,1,KBO,Nexen,13,0,2,0,0,0,48,20,2,10,3,11,14,12,7.04,79,0
609,60339,2016,1,KBO,Nexen,34,1,5,0,0,0,192,71,9,29,6,28,44,37,5.26,288,0.167
610,60339,2017,1,KBO,Nexen,5,1,0,0,0,0,18,13,1,2,0,5,8,8,12,32,1
611,60339,2018,1,KBO,NC,21,2,3,0,0,0,159,60,7,24,7,39,38,32,5.43,247,0.4
612,60339,2019,1,KBO,NC,44,0,2,0,0,0,156,49,5,16,4,32,23,21,3.68,215,0
613,60339,2020,1,KBO,NC,33,1,1,0,0,0,105,29,4,25,2,37,19,19,4.89,155,0.5
614,60339,2021,1,KBO,NC,6,0,0,0,0,0,25,2,1,7,0,5,4,4,5.4,29,-
615,60339,2022,1,KBO,NC,16,0,0,0,0,0,57,22,2,12,2,16,15,9,4.42,86,-
616,60342,2011,1,KBO,Nexen,1,0,0,0,0,0,6,0,0,1,1,0,0,0,0,7,-
617,60342,2015,1,KBO,Nexen,1,0,0,0,0,0,3,2,1,1,0,1,1,1,9,6,-
618,60342,2016,1,KBO,Nexen,11,0,0,0,0,0,34,8,0,9,2,2,7,7,6.52,47,-
619,60430,2010,1,KBO,Samsung,9,1,3,0,0,0,108,40,2,11,2,19,20,20,5.09,153,0.25
620,60439,2011,1,KBO,Samsung,2,0,0,0,0,0,12,3,0,1,0,0,0,0,0,13,-
621,60441,2010,1,KBO,Samsung,15,2,1,0,0,0,51,11,2,9,2,10,5,5,2.65,69,0.667
622,60441,2011,1,KBO,Samsung,11,0,0,0,0,0,45,17,1,4,2,10,7,7,4.4,66,-
623,60441,2012,1,KBO,Samsung,12,0,0,0,0,0,39,7,3,6,1,12,7,7,5.11,51,-
624,60441,2017,1,KBO,Doosan,1,0,0,0,0,0,3,4,0,1,0,1,3,3,27,8,-
625,60457,2010,1,KBO,Samsung,2,0,0,0,0,0,10,1,1,1,0,2,1,1,5.4,7,-
626,60457,2013,1,KBO,Samsung,10,0,0,0,0,0,39,11,2,6,0,18,5,5,3.46,55,-
627,60457,2014,1,KBO,Samsung,29,1,0,0,0,0,93,25,4,8,1,29,8,8,2.32,123,1
628,60457,2015,1,KBO,Samsung,11,0,0,0,0,0,39,14,5,5,1,14,10,10,7.3,55,-
629,60457,2016,1,KBO,Samsung,17,1,0,0,0,0,67,26,3,4,2,19,9,8,3.48,91,1
