mnkpID,playerID,mlb_playerID,npb_playerID,kbo_playerID,yearID,stint,lgID,teamID,transition_indicator,G,W,L,CG,SHO,SV,IPouts,H,HR,BB,HBP,SO,R,ER,ERA,BFP,WPCT,AL_indicator,NL_indicator,CL_indicator,PL_indicator,KBO_indicator
3502,MLB_bergmse01_NPB_104889_KBO_,,104889.0,,2001,1,PL,KINTETSU,4,18,10,4,2.0,0,0.0,323,117,11,28,2.0,59,53.0,50.0,4.179566563,460.0,0.714,0,0,0,1,0
3503,MLB_bergmse01_NPB_104889_KBO_,,104889.0,,2002,1,PL,KINTETSU,4,16,4,6,0.0,0,0.0,262,102,13,26,6.0,57,58.0,50.0,5.152671756,389.0,0.4,0,0,0,1,0
3600,MLB_betanra01_NPB_104818_KBO_,,104818.0,,2000,1,CL,YOKOHAMA,1,11,1,2,0.0,0,0.0,86,30,5,11,1.0,16,16.0,13.0,4.081395349,127.0,0.333,0,0,1,0,0
3647,MLB_beverja01_NPB_105097_KBO_,,105097.0,,2003,1,CL,YAKULT,2,19,8,4,0.0,0,0.0,318,114,16,36,5.0,94,51.0,48.0,4.075471698,460.0,0.667,0,0,1,0,0
3648,MLB_beverja01_NPB_105097_KBO_,,105097.0,,2004,1,CL,YAKULT,2,22,9,11,0.0,0,0.0,409,141,16,65,6.0,81,70.0,67.0,4.422982885,597.0,0.45,0,0,1,0,0
3649,MLB_beverja01_NPB_105097_KBO_,,105097.0,,2006,1,CL,YOKOHAMA,2,8,0,4,0.0,0,0.0,97,58,6,15,1.0,29,41.0,40.0,11.13402062,169.0,0,0,0,1,0,0
3703,MLB_biddlje01_NPB_107075_KBO_,,107075.0,,2022,1,PL,ORIX,4,35,4,5,0.0,0,0.0,121,36,4,20,7.0,45,20.0,18.0,4.016528926,184.0,0.444,0,0,0,1,0
3811,MLB_birdky01_NPB_107029_KBO_,,107029.0,,2021,1,CL,HIROSHIMA,2,33,0,0,0.0,0,0.0,65,21,0,13,2.0,21,11.0,11.0,4.569230769,98.0,,0,0,1,0,0
3820,MLB_birkbmi01_NPB_104315_KBO_,,104315.0,,1995,1,CL,YOKOHAMA,3,8,2,0,1.0,1,0.0,115,37,2,8,1.0,24,12.0,12.0,2.817391304,153.0,1,0,0,1,0,0
3821,MLB_birkbmi01_NPB_104315_KBO_,,104315.0,,1996,1,CL,YOKOHAMA,3,4,0,2,0.0,0,0.0,32,19,1,5,0.0,3,14.0,14.0,11.8125,54.0,0,0,0,1,0,0
3838,MLB_birtsti01_NPB_104027_KBO_,,104027.0,,1991,1,CL,YAKULT,3,18,3,5,1.0,1,0.0,255,98,7,41,2.0,72,56.0,53.0,5.611764706,381.0,0.375,0,0,1,0,0
3959,MLB_blacktr01_NPB_106218_KBO_,,106218.0,,2014,1,PL,RAKUTEN,4,3,1,2,0.0,0,0.0,39,21,2,5,0.0,7,9.0,8.0,5.538461538,63.0,0.333,0,0,0,1,0
4040,MLB_blankma01_NPB__KBO_75653,,,75653.0,2005,1,KBO,KIA,2,20,4,4,0.0,0,0.0,279,85,16,41,6.0,45,47.0,44.0,4.26,403.0,0.5,0,0,0,0,1
4357,MLB_bolsimi01_NPB_106628_KBO_,,106628.0,,2018,1,PL,LOTTE,3,20,13,2,2.0,1,0.0,353,100,7,43,1.0,84,44.0,40.0,3.059490085,477.0,0.867,0,0,0,1,0
4358,MLB_bolsimi01_NPB_106628_KBO_,,106628.0,,2019,1,PL,LOTTE,3,20,4,6,0.0,0,0.0,309,105,14,52,5.0,86,61.0,53.0,4.631067961,465.0,0.4,0,0,0,1,0
4363,MLB_boltoro01_NPB_104423_KBO_,,104423.0,,1996,1,PL,DAIEI,2,11,2,2,0.0,0,0.0,93,36,3,23,1.0,18,22.0,22.0,6.387096774,148.0,0.5,0,0,0,1,0
4418,MLB_bongju01_NPB__KBO_77147,,,77147.0,2007,1,KBO,LG,2,24,6,7,0.0,0,0.0,340,121,6,53,7.0,56,71.0,66.0,5.32,498.0,0.462,0,0,0,0,1
4419,MLB_bongju01_NPB__KBO_77147,,,77147.0,2008,1,KBO,LG,2,28,11,8,0.0,0,0.0,561,153,13,68,12.0,140,66.0,55.0,2.66,767.0,0.579,0,0,0,0,1
4420,MLB_bongju01_NPB__KBO_77147,,,77147.0,2009,1,KBO,LG,2,26,11,12,0.0,0,0.0,519,160,13,57,14.0,127,70.0,63.0,3.29,719.0,0.478,0,0,0,0,1
4421,MLB_bongju01_NPB__KBO_77147,,,77147.0,2010,1,KBO,LG,2,28,10,9,0.0,0,0.0,537,166,13,69,14.0,130,74.0,71.0,3.58,752.0,0.526,0,0,0,0,1
4422,MLB_bongju01_NPB__KBO_77147,,,77147.0,2011,1,KBO,LG,2,4,1,2,0.0,0,0.0,51,13,1,9,5.0,7,9.0,9.0,4.96,75.0,0.333,0,0,0,0,1
